Pathway & Ground Elements,Plants & Natural Features,Water Features,Architectural Structures,Furniture & Small Decor,Lighting & Atmosphere,Camera/Render Settings
Hidden root pathways,Seed pods on ground,Stone-rimmed cistern,Wooden lattice ceiling,Bento box,Faint light on bonsai pot,
Stone-filled ditch,Miniature maple saplings,Decorative water bowl,Stone footings,Folded scroll,Lantern-lit steam,
Mulch-covered corner,Winding branch extensions,Stone scoop resting near basin,Roof tile edge,Decorative bonsai pot,Soft golden hue,
Lichen patches,Seasonal leaf scatter,Splash marks on stones,Eroded stone gate,Maple leaf decoration,Shadow through noren,
Moss-lined trench,Rock-garden plants,Small tide pool,Split bamboo blinds,Water scoop (hishaku),Firefly trail,
Bent bamboo path border,Shrub trimmed into spiral,Rain-fed corner pool,Chōzubachi platform,Kakejiku hanging scroll,Window-lit scene,
Tile insets,Tiny moss mounds,Sluice stone,Wooden bucket with ladle,Candles in stone holder,Flicker on tea cup,
Water drainage line,Dry leaves in corner,Stone trough,Partitioned tea room,Garden journal,Dew glint,
Stepping plank,Gravel-border flora,Dew-filled basin,Miniature shrine,Sakura motif plate,Illuminated water ripple,
Soil depression,Bonsai on pedestal,Clear water curtain,Low entryway roof,Bamboo cutlery box,Ambient path glow,
Exposed root curve,Layered moss steps,Mini whirlpool,Weathered wood paneling,Washi napkins,Wall lantern shadow,
Pebble runoff,Dried grass tufts,Faint current,Stone lantern base,Tea scoop,Faint reflection in pond,
Rainwater stream,Young tree shoots,Low stone wall dam,Lantern stand,Porcelain soup bowl,Rain light diffusion,
Crushed rock border,Bulb plants,Stream meeting pond,Decorative corner beam,Wood tray with fruits,Lantern-lit calligraphy,
Layered shale tiles,Algae near rocks,Moss on water lip,Wooden nameplate,Incense ash basin,Twilight haze above trees,
Cracked earth patch,Lush foliage arch,Dripline from roof,Rustic tool rack,Tea caddy,Glow behind pergola,
Path stone with carved symbol,Moss-covered bark,Rock springhead,Covered bridge segment,Knot-tied cloth pouch,Reflected lantern grid,
Puddle with petal,Garden border plants,Basin with candle,Thatched roof edge,Calligraphy brush,Light flare through mist,
Footprint in mud,Trailing vine tips,Stilled rainwater basin,Rain gutter from roof,Painted wood box,Lantern-lit umbrella top,
