First_Word_Japanese,First_Word_Chinese,Rain_Word,Second_Word
Miyajima,Nanning,Raincloak,Mossgrove
Miyako,Nantong,Raincloud,Mossrock
Miyazaki,Nanyang,Raincorner,Mosswalk
Moriguchi,Neijiang,Raincover,Nest
Moss,Ningbo,Raincrest,Niche
Muroran,Pagoda,Raincurl,Oasis
Mystic,Panzhihua,Raindance,Overlook
Nagahama,Peaceful,Raindawn,Pagoda
Nagano,Peony,Raindim,Pagodagrove
Nagareyama,Phoenix,Raindream,Path
Nagasaki,Pine,Raindrop,Pathway
Nagoya,Pingdingshan,Raindropfield,Pathwayhill
Nanao,Pingxiang,Raindusk,Pavilion
Nara,Plum,Rainfall,Pebblegrove
Naruto,Putian,Rainflicker,Pebblelane
Niigata,Qingdao,Rainflower,Pebblestone
Nikko,Qingyuan,Raingarden,Perch
Nirasaki,Qinhuangdao,Rainglow,Petal
Nobeoka,Qufu,Rainhall,Petalbend
Noh,Quiet,Rainlight,Petalgate
Numazu,Rizhao,Rainline,Petalgrove
Obama,Rock,Rainloop,Petalhill
Obihiro,Rongcheng,Rainmirror,Petalway
Obon,Sacred,Rainmoss,Pine
Odawara,Sanming,Rainnest,Pinegrove
Oita,Sanya,Rainpath,Pinehill
Okayama,Scholar,Rainpearl,Pineledge
Okinawa,Scroll,Rainpetal,Pinespring
Origami,Serene,Rainpool,Pinetrail
Osaka,Shanghai,Rainrift,Pond
Otaru,Shanwei,Rainroot,Pondside
Pagoda,Shanxi,Rainrush,Quietarch
Peaceful,Shaoguan,Rainscape,Quietstream
Pebble,Shaolin,Rainshade,Range
Pine,Shenyang,Rainshard,Refuge
Quiet,Shenzhen,Rainshimmer,Repose
Sabi,Shigatse,Rainsky,Retreat
Sacred,Shiyan,Rainsong,Rise
Saitama,Shizuishan,Rainsoul,Rivertrail
Sakai,Shrine,Rainspark,Rock
Sakaide,Silk,Rainsparkle,Rockbank
Saku,Soothing,Rainstep,Rockgarden
Sakura,Still,Rainstone,Rockgate
Samurai,Stream,Rainstonepath,Sakuraarch
Sanda,Suqian,Rainstorm,Sanctuary
Sapporo,Suzhou,Rainthread,Sanctum
Sasebo,Taiyuan,Raintide,Shade
Sendai,Tang,Raintree,Shadegarden
Serene,Taoist,Rainveil,Shadehill
Setagaya,Tea,Rainwave,Shadetree
Shibuya,Temple,Rainway,Shelter
Shikoku,Tengchong,Rainwhisper,Shrine
Shimonoseki,Tianjin,Rainy,Shrubway
Shinto,Tianshui,Shadecloud,Spring
Shrine,Tieling,Showers,Springbloom
Silent,Tonghua,SilverRain,Springfield
Soft,Tongling,Skydrop,Springpath
Soothing,Tranquil,Skyfog,Step
Still,Weifang,Skymist,Stone
Stone,Weihai,Skyrain,Stonebridge
Stream,Willow,Skyshade,Stonecircle
Tachikawa,Wuhan,Skytrail,Stonegrove
Takamatsu,Wuhu,Skywater,Stoneway
Takao,Wuxi,Smog,Stream
Takarazuka,Wuzhou,Spray,Streambed
Takayama,Xi'an,Sprinkle,Streamline
Tama,Xiamen,Storm,Sunarch
Tatami,Xiangtan,Stormcrest,Temple
Tea,Xiangyang,Stormdrop,Templegate
Temple,Xining,Stormdust,Terrace
Tendo,Xinjiang,Stormfall,Thicket
Tokorozawa,Xinxiang,Stormfield,Thorn
Tokushima,Xuancheng,Stormglow,Trail
Tokyo,Xuzhou,Stormheart,Trailbend
Torii,Yan'an,Stormlight,Trailhead
Tottori,Yancheng,Stormlily,Tranquilarch
Toyama,Yangjiang,Stormpond,Tranquilpath
Toyohashi,Yangzhou,Stormrise,Tree
Toyokawa,Yibin,Stormshade,Treeline
Tranquil,Yinchuan,Stormsong,Trunk
Tsu,Yingkou,Stormstep,Underbranch
Tsuruga,Yueyang,Stormveil,Valley
Ube,Yulin,Stormwalk,Valleywalk
Ueno,Yunnan,Stormy,Vista
Uji,Zhangjiajie,Thunder,Walk
Urayasu,Zhangjiakou,Thunderbloom,Waterfall
Utsunomiya,Zhangye,Thundercloud,Whisperfield
Wabi,Zhanjiang,Thunderdrop,Whispertrail
Willow,Zhaotong,Thunderfall,Willow
Wisteria,Zhengzhou,Thunderfield,Willowarch
Yaizu,Zhenjiang,Thundergrove,Willowshade
Yamagata,Zhongshan,Thunderrise,Windtrail
Yamaguchi,Zhoukou,Thundershade,Wisteriafield
Yamato,Zhoushan,Thunderveil,Wisteriapath
Yawata,Zhuhai,TwilightRain,Woodland
Yokkaichi,Zhumadian,Umbrella,Woods
Yokohama,Zhuzhou,Veilstorm,Zen
Yokosuka,Zibo,Wet,Zenarch
Yufuin,Zigong,Wetwind,Zenpath
Zen,Zunyi,Windsong,Zenrock
Zushi,Ürümqi,Windspray,Zenwalk
